Context,Utterance,Lable
呵呵,是 王若 猫 的 。,1
不是,那 是 什么 ？,1
怎么 了,我 很 难过 ， 安慰 我 ~,1
"开心 点哈 , 一切 都 会 好 起来",嗯   会 的,1
"我 还 喜欢 她 , 怎么办",我 帮 你 告诉 她 ？ 发短信 还是 打电话 ？,1
短信,嗯 嗯 。 我 也 相信,1
你 知道 谁 么,肯定 不是 我 ， 是 阮德培,1
许兵 是 谁,吴院 四班 小帅哥,1
这么 假,三鹿 奶粉 也 假 ， 不 一样 的 卖 啊,1
许兵 是 傻 逼,被 你 发现 了 。,1
是 我 善良 可爱 的 主人 的 老公 啊,是 穆森 的 老婆 啊,1
奇葩,许兵 到底 是 谁,1
不要 凶 我 ～ 应该 大概 也许 是 叶祺 吧 ～,"尼玛 , 许兵 到底 是 谁",1
我 。 。 。 我 不会 告诉 你 我 是 小澜 的 ！ ( ^ V ^ ),"小黄 鸭 , 你 有 女朋友 么",1
老娘 是 女 的 … ！,那 你 有 男朋友 么,1
没有 呢 ， 我 只要 主人 一个 人 疼爱 我 嘛 。 。,那 你 在 哪,1
我 无聊,你 妈 是 谁,1
我 妈妈 是 世界 上 最 温柔 的 主人 你 啊,去 你 大爷 的,1
我 去 ， 滚 你 大爷 的 ！,你 在 骂 我 一句,1
你 果然 够 虚荣 ~,你 大爷 的,1
RuoRuo 弱 爆 了 。 尤其 是 她 现在 冻 的 更 憨 了,你 是 屌丝 鸡,1
嗯 嗯,你妹,1
今天 是 谁 的 生日,是 我 大乔姐 十七 的 生日 ！,1
你 敢不敢,你 敢 我 就 敢 ， 小样 ， 敢 跟 我 叫板,1
呵呵 你 大爷,呵呵 呵,1
敷衍 我 ..,你 是 女 的 了 ? 怎么回事,1
你 教 我 的,呵 你 妹 ， 你 呵呵 了 我 要 怎么 回答 你 。 哈哈 ？,1
天王 盖地 虎,宝塔 镇 妖河 。,1
小通,臣 在,1
"在 监考 , 你 在 干 么",在 边 打 dota 边想悦悦 。,1
哼 ! 你 不想 我 我 就 不 和 你 玩,那 我 就 找 别人 玩去 ！,1
